Indicator_Name,Adjusted net national income per capita (annual % growth),Age dependency ratio (% of working-age population),"Air transport, passengers carried",Consumer price index (2010 = 100),"Employment to population ratio, 15+, total (%) (national estimate)",Fuel exports (% of merchandise exports),Fuel imports (% of merchandise imports),GDP (current US$),GDP per capita (current US$),Imports of goods and services (% of GDP),"Inflation, consumer prices (annual %)",Population ages 15-64 (% of total),"Population ages 15-64, total",Population growth (annual %),"Population, total",Urban population (% of total)
2005,2.044089414,49.64296207,720547738,89.56053237,62.68939972,3.319996781,17.36705656,13093700000000,44307.92058,15.50426517,3.392746845,66.82572882,197481121,0.921713167,295516599,79.928
2006,2.59424434,49.64427602,725530965,92.44970508,63.11970139,3.695664742,17.97367858,13855900000000,46437.06712,16.21883058,3.225944101,66.82514215,199392800,0.964253917,298379912,80.099
2007,-0.942684811,49.55116115,744302310,95.08699238,62.98720169,3.95084622,18.41742026,14477600000000,48061.53766,16.46102419,2.852672482,66.86674928,201423516,0.951055243,301231207,80.269
2008,-3.397213427,49.4474294,701779551,98.73747739,62.17699814,6.50615174,23.18235224,14718600000000,48401.42734,17.42701165,3.839100297,66.9131617,203478887,0.945865287,304093966,80.438
2009,-2.094754319,49.4417545,679423408,98.38641997,59.32020187,5.782033659,17.47731138,14418700000000,47001.55535,13.75417087,-0.355546266,66.91570256,205278324,0.876651299,306771529,80.606
2010,2.593789354,49.57588536,720497000,100,58.4720993,7.177320354,18.58810769,14964400000000,48375.40695,15.80415135,1.640043442,66.85569662,206810356,0.833262586,309338421,80.772
2011,1.50710462,49.77009952,730796000,103.1568416,58.37189865,10.04272239,20.55163077,15517900000000,49793.71352,17.31137267,3.156841569,66.76900153,208081774,0.742651798,311644280,80.944
2012,2.84754208,50.00983493,736699000,105.2915045,58.56069946,10.26601312,18.76124915,16155300000000,51450.95911,17.10801903,2.069337265,66.66229595,209315124,0.750914976,313993272,81.119
2013,0.550621052,50.31967491,743171000,106.8338489,58.58430099,10.976168,16.85690288,16691500000000,52782.08651,16.58694653,1.464832656,66.52489107,210374660,0.711248387,316234505,81.299
2014,2.305211834,50.70772115,762710000,108.5669321,59.00680161,11.15637361,14.92077255,17427600000000,54696.72617,16.54361766,1.622222977,66.35360103,211417519,0.752305212,318622525,81.483
2015,3.088054845,51.17890171,798222000,108.695722,59.34329987,8.171334688,8.694301562,18120700000000,56443.81724,15.39099398,0.118627136,66.14679627,212357568,0.755812955,321039839,81.671
2016,0.235399481,51.65234815,824039000,110.0670089,59.72919846,7.715919554,7.301082654,18624500000000,57588.53807,14.68929997,1.261583206,65.94029129,213254816,0.73430744,323405935,81.862
1981,-1.407785211,55.32098403,24578700,39.53362678,,18.9591957,14.11754329,540766000000,9599.306222,22.67417337,11.87661863,64.38280118,36269297,0.034821732,56333829,78.588
1982,1.974579374,54.38340893,23872500,42.93307194,,20.28782667,12.99800228,515049000000,9146.077357,23.23607614,8.598869976,64.77380017,36476485,-0.035842794,56313641,78.539
1983,4.189190569,53.49280519,23376200,44.91198631,52.40620041,21.59125203,10.7353144,489618000000,8691.518813,24.2836737,4.609300664,65.14963365,36700644,0.034101374,56332848,78.489
1984,2.000387153,52.75495299,25825700,47.13994174,53.27289963,21.71555417,13.05464146,461487000000,8179.194441,27.02553028,4.960714524,65.46432634,36936329,0.158261863,56422072,78.44
1985,2.810414431,52.22896743,28229400,50.00199186,54.03889847,21.43478655,12.50695961,489285000000,8652.216542,26.22814157,6.071390872,65.69051986,37148165,0.226951225,56550268,78.39
1986,5.49815274,52.27506863,29373100,51.71586924,54.03839874,11.87353333,7.436791973,601453000000,10611.11221,24.91395268,3.427618215,65.6706316,37223031,0.23161023,56681396,78.34
1987,4.258126765,52.40939421,33705300,53.8615147,54.69189835,10.95526269,6.466468293,745163000000,13118.58653,24.77039417,4.148911139,65.61275375,37269389,0.212637261,56802050,78.29
1988,5.605949096,52.63273875,37573100,55.96900499,56.3708992,7.145915986,4.715583445,910123000000,15987.16808,24.6853929,3.912794324,65.51674393,37297586,0.222063894,56928327,78.24
1989,1.842380355,52.91706239,46354400,58.86525245,58.22949982,6.59776395,5.115740726,926885000000,16239.2822,25.51460693,5.174734583,65.39492688,37325273,0.26031145,57076711,78.19
1990,0.371778481,53.22444259,47113600,63.00274736,58.63460159,7.604909662,6.222260112,1093170000000,19095.467,24.42113742,7.028755916,65.26373918,37361915,0.298930554,57247586,78.14
1991,-0.456359374,53.57906456,42861200,67.73265212,57.29959869,7.245353435,6.523323717,1142800000000,19900.72665,22.26511197,7.50745793,65.11304164,37391097,0.309247932,57424897,78.112
1992,2.525195179,53.95403774,47819400,70.6288968,56.29499817,6.440175613,5.554754027,1179660000000,20487.17079,22.91416158,4.275994801,64.95445185,37401034,0.270431182,57580402,78.172
1993,3.507347269,54.31258283,50187900,72.40614019,55.48460007,7.102848975,4.980983852,1061390000000,18389.01957,24.4172908,2.516311975,64.80352902,37403699,0.239745439,57718614,78.232
